year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,3360802.0,808676.0,2552126.0
2004,,3344725.0,816492.0,2528233.0
2005,,3160393.0,855048.0,2305345.0
2006,,3046477.0,825963.0,2220514.0
2007,,3857838.0,833620.0,3024218.0
2008,,4001491.0,920160.0,3081331.0
2009,,3456920.0,897015.0,2559905.0
2010,,3823042.0,1115599.0,2707443.0
2011,,4208502.0,1147688.0,3060814.0
2012,,4299393.0,1223250.0,3076143.0
2013,,3638988.0,1145067.0,2493921.0
2014,start of forecast,4040215.0,1163256.0,2876959.0
2015,,4042146.0,1165186.0,2876959.0
2016,,4042701.0,1165742.0,2876959.0
2017,,4042209.0,1165250.0,2876959.0
2018,,4040799.0,1163840.0,2876959.0
2019,,4039211.0,1162252.0,2876959.0
2020,,4036721.0,1159761.0,2876959.0
2021,,4032916.0,1155956.0,2876959.0
2022,,4029257.0,1152298.0,2876959.0
2023,,4025175.0,1148216.0,2876959.0
2024,,4021164.0,1144205.0,2876959.0
2025,,4016503.0,1139543.0,2876959.0
2026,,4010625.0,1133666.0,2876959.0
2027,,4003426.0,1126467.0,2876959.0
2028,,3994884.0,1117924.0,2876959.0
2029,,3988395.0,1111436.0,2876959.0
2030,,3981511.0,1104552.0,2876959.0
2031,,3971852.0,1094892.0,2876959.0
2032,,3959302.0,1082343.0,2876959.0
2033,,3945538.0,1068579.0,2876959.0
2034,,3931614.0,1054655.0,2876959.0
2035,,3917725.0,1040765.0,2876959.0
2036,,3904503.0,1027543.0,2876959.0
2037,,3891619.0,1014660.0,2876959.0
2038,,3878265.0,1001305.0,2876959.0
2039,,3863996.0,987036.0,2876959.0
2040,,3848933.0,971973.0,2876959.0
