year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,22452.61,730035.9,422612.02,16905.32,537491.49,211843.0
2018,24801.27,806609.28,466558.35,17903.72,569386.02,224413.68
2019,27988.47,910530.28,522306.74,19259.04,612671.45,240161.53
2020,29572.21,962490.79,551906.84,19930.03,634314.17,248645.27
2021,30559.25,995307.95,570601.64,20344.93,647983.25,254003.43
2022,31377.91,1022655.58,581811.49,20688.32,659374.16,257056.16
2023,31941.4,1041798.93,592635.51,20922.39,667347.79,260164.67
2024,32336.87,1055472.74,600366.95,21084.99,673043.24,262385.03
2025,32895.25,1074616.09,606601.18,21316.02,681016.87,264034.79
2026,33528.79,1096494.19,614195.92,21577.28,690129.6,266089.57
2027,34069.07,1115637.54,624857.37,21796.87,698103.23,269163.93
2028,34515.86,1132046.12,629162.12,21974.67,704937.77,270289.09
2029,35057.61,1151189.46,634827.37,22195.88,712911.4,271819.28
2030,35429.0,1164863.28,637353.6,22343.96,718606.86,272451.58
2031,36030.07,1186741.39,644193.56,22585.75,727719.58,274347.77
2032,36691.99,1211354.26,652312.73,22849.19,737971.39,276631.91
2033,37342.01,1235967.13,654948.01,23105.72,748223.21,277269.42
2034,37987.1,1260580.0,662544.64,23359.88,758475.02,279443.77
2035,38299.79,1274253.81,658820.58,23472.55,764170.47,278268.39
2036,39025.16,1301601.45,667336.46,23761.82,775561.37,280755.05
2037,39340.0,1315275.26,663089.86,23876.82,781256.83,279469.87
2038,39975.73,1339888.13,669722.7,24127.65,791508.64,281441.7
2039,40519.38,1361766.24,668988.61,24337.9,800621.36,281252.07
2040,41215.64,1389113.88,676436.19,24611.87,812012.26,283514.25
