year,Base case diesel consumed,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,215531.530167,,,,,181382.024828
2019,215391.484554,,,,,181241.979214
2020,215181.416133,,,,,181031.910793
2021,214831.302098,168324.693721,206993.109673,175640.339979,84194.7617006,180681.796759
2022,214551.21087,168044.602493,206713.018446,175360.248751,83914.6704728,180401.705531
2023,214201.096836,167694.488458,206362.904411,175010.134716,83564.5564382,180051.591496
2024,213850.982801,167344.374424,206012.790376,174660.020682,83214.4424035,179701.477462
2025,213430.845959,166924.237582,205592.653535,174239.88384,82794.3055619,179281.34062
2026,212870.663504,166364.055127,205032.471079,173679.701385,82234.1231065,178721.158165
2027,212240.458242,165733.849864,204402.265817,173049.496122,81603.9178441,178090.952902
2028,211540.230172,165033.621795,203702.037748,172349.268053,80903.6897748,177390.724833
2029,210910.02491,164403.416533,203071.832485,171719.062791,80273.4845124,176760.519571
2030,210349.842454,163843.234077,202511.65003,171158.880335,79713.302057,176200.337115
2031,209509.568771,163002.960394,201671.376347,170318.606652,78873.0283738,175360.063432
2032,208389.20386,161882.595483,200551.011436,169198.241741,77752.6634629,174239.698521
2033,207198.816143,160692.207765,199360.623718,168007.854023,76562.2757451,173049.310803
2034,205938.405618,159431.79724,198100.213193,166747.443499,75301.8652203,171788.900278
2035,204748.0179,158241.409523,196909.825475,165557.055781,74111.4775025,170598.512561
2036,203557.630182,157051.021805,195719.437757,164366.668063,72921.0897846,169408.124843
2037,202437.265271,155930.656894,194599.072846,163246.303152,71800.7248737,168287.759932
2038,201246.877553,154740.269176,193408.685129,162055.915434,70610.3371559,167097.372214
2039,199986.467029,153479.858651,192148.274604,160795.504909,69349.9266311,165836.961689
2040,198656.033697,152149.42532,190817.841272,159465.071578,68019.4932995,164506.528358
2041,197325.600365,150818.991988,189487.40794,158134.638246,66689.0599678,163176.095026
2042,196065.189841,149558.581463,188226.997416,156874.227721,65428.649443,161915.684501
2043,194804.779316,148298.170938,186966.586891,155613.817197,64168.2389182,160655.273976
2044,193614.391598,147107.783221,185776.199173,154423.429479,62977.8512004,159464.886259
2045,192424.00388,145917.395503,184585.811455,153233.041761,61787.4634826,158274.498541
2046,191163.593355,144656.984978,183325.400931,151972.631236,60527.0529578,157014.088016
2047,189973.205638,143466.59726,182135.013213,150782.243518,59336.66524,155823.700298
2048,188852.840727,142346.232349,181014.648302,149661.878607,58216.3003291,154703.335387
2049,187732.475816,141225.867438,179894.283391,148541.513696,57095.9354182,153582.970476
2050,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2051,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2052,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2053,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2054,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2055,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2056,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2057,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2058,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2059,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2060,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2061,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2062,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2063,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2064,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2065,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2066,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2067,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,152532.628372
2068,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,
2069,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,
2070,186682.133712,140175.525334,178843.941287,147491.171593,56045.5933142,
