year,Base case diesel consumed,Modeled diesel efficiency
2019,215391.484554,195810.440503
2020,215181.416133,195619.469212
2021,214831.302098,195301.183726
2022,214551.21087,195046.555337
2023,214201.096836,194728.269851
2024,213850.982801,194409.984365
2025,213430.845959,194028.041781
2026,212870.663504,193518.785004
2027,212240.458242,192945.871129
2028,211540.230172,192309.300157
2029,210910.02491,191736.386282
2030,210349.842454,191227.129504
2031,209509.568771,190463.244338
2032,208389.20386,189444.730782
2033,207198.816143,188362.56013
2034,205938.405618,187216.73238
2035,204748.0179,186134.561727
2036,203557.630182,185052.391075
2037,202437.265271,184033.877519
2038,201246.877553,182951.706867
