year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8410.89667086,5467.08283606
2018,8408.73165024,5465.67557266
2019,8406.29347156,5464.09075652
2020,8402.47033829,5461.60571989
2021,8396.62875045,5457.80868779
2022,8391.01227508,5454.1579788
2023,8384.74475499,5450.08409074
2024,8378.58655211,5446.08125887
2025,8371.43018863,5441.42962261
2026,8362.40733499,5435.56476774
2027,8351.35442026,5428.38037317
2028,8338.2398639,5419.85591154
2029,8328.27796192,5413.38067525
2030,8317.70955186,5406.51120871
2031,8302.87966002,5396.87177901
