year,Base case cost,Modeled biomass for heat (cordwood)
2017,274177.457369,311895.049368
2018,291863.097369,323876.947218
2019,315865.037369,340556.809226
2020,327234.377369,347917.496448
2021,335445.567369,352966.685985
2022,341130.237369,356171.01929
2023,344920.017369,357997.151336
2024,348078.167369,359378.968099
2025,351867.947369,361250.368438
2026,356920.987369,364078.045972
2027,360710.767369,365992.617521
2028,363868.917369,367460.800988
2029,368290.327369,369883.761626
2030,371448.477369,371392.151415
2031,375869.887369,373854.376039
2032,,
2033,,
2034,,
2035,,
2036,,
