year,Base case cost,Modeled residential energy efficiency
2017,148181.398074,145421.370477
2018,154674.381837,151567.857913
2019,163486.288372,159942.587175
2020,167660.349363,163866.894345
2021,170674.948967,166680.040907
2022,172761.979462,168604.601882
2023,174153.333126,169863.153362
2024,188047.623723,183635.722225
2025,189536.487633,184995.358985
2026,191521.639513,186834.465163
2027,193010.503424,188197.511342
2028,194251.223349,189323.330289
2029,195988.231244,190928.50019
2030,197228.951169,192057.494405
2031,198965.959064,193665.765154
2032,214531.028959,209094.322298
2033,216646.194501,211074.436156
2034,218761.360043,213055.976837
2035,220083.338507,214273.539035
2036,222198.50405,216257.833822
