year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2007,,1746.05,287188.0,0.0,287188.0
2008,,1746.05,290249.0,0.0,290249.0
2009,,1746.05,236000.0,1782.0,234218.0
2010,,1746.05,232000.0,1782.0,230218.0
2011,,1746.05,233000.0,1782.0,231218.0
2012,,1746.05,233000.0,1782.0,231218.0
2013,,1746.05,233000.0,1782.0,231218.0
2014,,1746.05,233000.0,1782.0,231218.0
2015,,1746.05,83040.0,0.0,83040.0
2016,start of forecast,1746.05,233000.0,1782.0,231218.0
2017,,1746.05,233000.0,1782.0,231218.0
2018,,1746.05,233000.0,1782.0,231218.0
2019,,1746.05,233000.0,1782.0,231218.0
2020,,1746.05,233000.0,1782.0,231218.0
2021,,1746.05,234000.0,1782.0,232218.0
2022,,1746.05,234000.0,1782.0,232218.0
2023,,1746.05,234000.0,1782.0,232218.0
2024,,1746.05,234000.0,1782.0,232218.0
2025,,1746.05,234000.0,1782.0,232218.0
2026,,1746.05,234000.0,1782.0,232218.0
2027,,1746.05,234000.0,1782.0,232218.0
2028,,1746.05,235000.0,1782.0,233218.0
2029,,1746.05,235000.0,1782.0,233218.0
2030,,1746.05,235000.0,1782.0,233218.0
2031,,1746.05,235000.0,1782.0,233218.0
2032,,1746.05,235000.0,1782.0,233218.0
2033,,1746.05,235000.0,1782.0,233218.0
2034,,1746.05,236000.0,1782.0,234218.0
2035,,1746.05,236000.0,1782.0,234218.0
2036,,1746.05,236000.0,1782.0,234218.0
2037,,1746.05,236000.0,1782.0,234218.0
2038,,1746.05,236000.0,1782.0,234218.0
2039,,1746.05,236000.0,1782.0,234218.0
2040,,1746.05,237000.0,1782.0,235218.0
