year,Base case diesel consumed,Modeled diesel efficiency
2019,199255.257282,181141.142984
2020,198947.170298,180861.063907
2021,198562.061567,180510.965061
2022,198330.996329,180300.905753
2023,198099.93109,180090.846446
2024,197714.822359,179740.747599
2025,197483.757121,179530.688292
2026,197021.626644,179110.569676
2027,196790.561406,178900.510369
2028,196482.474421,178620.431292
2029,195943.322198,178130.292907
2030,195173.104737,177430.095215
2031,194479.909021,176799.917292
2032,194094.800291,176449.818446
2033,193709.69156,176099.7196
2034,193401.604575,175819.640523
2035,193016.495844,175469.541677
2036,192477.343621,174979.403292
2037,192092.234891,174629.304446
2038,191630.104414,174209.185831
