year,Base case cost,Modeled solar power (pv)
2016,412369.807566,437841.410619
2017,491873.194374,516115.730505
2018,549011.006536,572394.385073
2019,627654.060439,649845.512978
2020,664483.548795,686159.897983
2021,689010.353638,710366.744146
2022,706058.34693,727223.751649
2023,719102.749857,740142.013554
2024,729567.694506,750513.842477
2025,740564.089204,761419.321032
2026,754592.830047,775299.671215
2027,767483.189482,788074.319606
2028,778070.598707,798577.947355
2029,789651.588458,810048.122139
2030,796306.267325,816652.261869
2031,809036.421528,829247.491015
2032,822961.953232,843041.010564
2033,838762.964454,858684.692634
2034,854835.092222,874602.779702
2035,862783.736425,882511.59976
