year,Base case cost,Modeled wind power
2019,285020.200009,490763.214361
2020,304870.244865,508310.580833
2021,318670.194534,520656.207312
2022,330759.597678,531533.674465
2023,338360.742485,538407.657676
2024,346582.923552,545902.677149
2025,356302.218087,554894.810089
2026,366958.460629,564581.503837
2027,377046.062029,573820.750043
2028,385559.498315,581728.218334
2029,396573.260491,591772.431716
2030,403970.988954,598685.385782
2031,415520.260065,609265.1081
2032,427524.906399,620300.20564
2033,440063.520635,631748.077484
2034,454025.278759,644740.286815
2035,464381.019884,654368.866345
2036,476986.669051,666004.966719
2037,487234.537873,675525.673946
2038,500465.8464,687787.433679
