year,Base case cost,Modeled residential energy efficiency
2017,700679.256672,674425.896098
2018,756047.978051,721058.754294
2019,820238.658162,773081.624973
2020,856637.966425,803553.026077
2021,883367.397485,826538.515773
2022,907505.976742,847557.143894
2023,925968.989096,864148.185566
2024,944617.200187,880924.425975
2025,973215.073278,907650.328384
2026,995441.862766,927381.156963
2027,1016342.3599,946097.688299
2028,1044354.73558,972550.088411
2029,1067384.05292,993083.444849
2030,1084120.47425,1008571.88572
2031,1107581.92198,1029537.37254
2032,1141795.55957,1061255.04922
2033,1167571.02626,1084222.55988
2034,1202679.79107,1116835.36379
2035,1223905.35125,1136188.95329
2036,1259816.64393,1169604.28505
