year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.62
2004,,1.36,2.22
2005,,1.78,2.9
2006,,2.1,2.84
2008,,2.97,3.89
2009,,2.59,3.56
2010,,2.94,3.08
2011,,3.54,4.08
2012,,3.94,4.14
2013,,4.05,4.2
2014,,,4.18
2016,start of forecast,1.42,1.86
2017,,1.75,2.19
2018,,1.99,2.43
2019,,2.34,2.78
2020,,2.5,2.94
2021,,2.62,3.06
2022,,2.71,3.15
2023,,2.77,3.21
2024,,2.82,3.26
2025,,2.87,3.31
2026,,2.95,3.39
2027,,3.01,3.45
2028,,3.06,3.5
2029,,3.13,3.57
2030,,3.17,3.61
2031,,3.25,3.69
2032,,3.32,3.76
2033,,3.4,3.84
2034,,3.48,3.92
2035,,3.53,3.97
2036,,3.61,4.05
2037,,3.66,4.1
2038,,3.75,4.19
2039,,3.81,4.25
2040,,3.9,4.34
