year,Base case cost,Modeled residential energy efficiency
2017,152186.057709,191709.631704
2018,169243.680776,206942.974978
2019,193213.757568,228252.643737
2020,204615.224056,238437.923696
2021,213833.078031,246743.637775
2022,221396.416708,253622.871529
2023,224974.341915,256744.726788
2024,227955.946255,259346.272837
2025,233274.050737,264284.319029
2026,238089.433449,268491.608476
2027,244115.89822,274062.003299
2028,249596.459864,279162.506652
2029,246441.893158,275475.85834
2030,243818.058079,272547.976629
2031,245949.618441,274071.443726
2032,252594.811965,280184.555644
2033,265175.9612,292157.611615
2034,275347.784669,301721.341818
2035,281119.648808,307113.147667
2036,286069.478825,311454.88442
