year,Base case cost,Modeled biomass for heat (cordwood)
2017,209615.405064,282880.009052
2018,232573.085064,299855.277304
2019,266053.035064,324610.876838
2020,281358.155064,335927.722339
2021,292836.995064,344415.356466
2022,301446.125064,350781.08206
2023,307185.545064,355024.899123
2024,311968.395064,358561.413342
2025,316751.245064,362097.927562
2026,324403.805064,367756.350312
2027,330143.225064,372000.167375
2028,334926.075064,375536.681594
2029,341622.065064,380487.801501
2030,345448.345064,383317.012877
2031,353100.905064,388975.435627
2032,,
2033,,
2034,,
2035,,
2036,,
