year,Base case diesel consumed,Modeled transmission and interties
2021,43287.5646394,0.0
2022,43287.5646394,0.0
2023,43287.5646394,0.0
2024,43287.5646394,0.0
2025,43287.5646394,0.0
2026,43287.5646394,0.0
2027,43287.5646394,0.0
2028,43287.5646394,0.0
2029,43204.9547832,0.0
2030,43204.9547832,0.0
2031,43204.9547832,0.0
2032,43204.9547832,0.0
2033,43204.9547832,0.0
2034,43204.9547832,0.0
2035,43204.9547832,0.0
2036,43122.344927,0.0
2037,43122.344927,0.0
2038,43122.344927,0.0
2039,43122.344927,0.0
2040,43122.344927,0.0
