year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5859.36549975,3808.58757484
2018,5859.91832094,3808.94690861
2019,5859.75466903,3808.84053487
2020,5860.12713031,3809.0826347
2021,5860.54528888,3809.35443777
2022,5860.50833697,3809.33041903
2023,5860.12367534,3809.08038897
2024,5859.84352637,3808.89829214
2025,5859.49592463,3808.67235101
2026,5859.04313545,3808.37803804
2027,5858.40906863,3807.96589461
2028,5857.96837182,3807.67944168
2029,5856.39039812,3806.65375878
2030,5854.75701005,3805.59205653
2031,5853.54240136,3804.80256089
