year,Base case diesel consumed,Modeled solar power
2020,43287.5646394,42753.0669876
2021,43287.5646394,42757.3429688
2022,43287.5646394,42761.5847422
2023,43287.5646394,42765.7925814
2024,43287.5646394,42769.9667578
2025,43287.5646394,42774.1075409
2026,43287.5646394,42778.2151977
2027,43287.5646394,42782.2899932
2028,43287.5646394,42786.3321904
2029,43204.9547832,42707.7321938
2030,43204.9547832,42711.7099745
2031,43204.9547832,42715.655933
2032,43204.9547832,42719.5703238
2033,43204.9547832,42723.4533995
2034,43204.9547832,42727.3054105
2035,43204.9547832,42731.1266055
2036,43122.344927,42652.3073747
2037,43122.344927,42656.0676752
2038,43122.344927,42659.7978932
2039,43122.344927,42663.4982695
