year,Base case diesel consumed,"Valdez, tatitlek (indian creek)",Cordova (silver lake)
2021,43287.5646394,9189.82641132,0.0
2022,43287.5646394,9189.82641132,0.0
2023,43287.5646394,9189.82641132,0.0
2024,43287.5646394,9189.82641132,0.0
2025,43287.5646394,9189.82641132,0.0
2026,43287.5646394,9189.82641132,0.0
2027,43287.5646394,9189.82641132,0.0
2028,43287.5646394,9189.82641132,0.0
2029,43204.9547832,9107.21655514,-82.609856182
2030,43204.9547832,9107.21655514,-82.609856182
2031,43204.9547832,9107.21655514,-82.609856182
2032,43204.9547832,9107.21655514,-82.609856182
2033,43204.9547832,9107.21655514,-82.609856182
2034,43204.9547832,9107.21655514,-82.609856182
2035,43204.9547832,9107.21655514,-82.609856182
2036,43122.344927,9024.60669896,-165.219712364
2037,43122.344927,9024.60669896,-165.219712364
2038,43122.344927,9024.60669896,-165.219712364
2039,43122.344927,9024.60669896,-165.219712364
2040,43122.344927,9024.60669896,-165.219712364
2041,43122.344927,9024.60669896,-165.219712364
2042,43122.344927,9024.60669896,-165.219712364
2043,43122.344927,9024.60669896,-165.219712364
2044,43039.7350708,8941.99684278,-247.829568546
2045,43039.7350708,8941.99684278,-247.829568546
2046,43039.7350708,8941.99684278,-247.829568546
2047,43039.7350708,8941.99684278,-247.829568546
2048,43039.7350708,8941.99684278,-247.829568546
2049,43039.7350708,8941.99684278,-247.829568546
2050,43039.7350708,8941.99684278,-247.829568546
2051,43039.7350708,8941.99684278,-247.829568546
2052,43039.7350708,8941.99684278,-247.829568546
2053,43039.7350708,8941.99684278,-247.829568546
2054,43039.7350708,8941.99684278,-247.829568546
2055,43039.7350708,8941.99684278,-247.829568546
2056,43039.7350708,8941.99684278,-247.829568546
2057,43039.7350708,8941.99684278,-247.829568546
2058,43039.7350708,8941.99684278,-247.829568546
2059,43039.7350708,8941.99684278,-247.829568546
2060,43039.7350708,8941.99684278,-247.829568546
2061,43039.7350708,8941.99684278,-247.829568546
2062,43039.7350708,8941.99684278,-247.829568546
2063,43039.7350708,8941.99684278,-247.829568546
2064,43039.7350708,8941.99684278,-247.829568546
2065,43039.7350708,8941.99684278,-247.829568546
2066,43039.7350708,8941.99684278,-247.829568546
2067,43039.7350708,8941.99684278,-247.829568546
2068,43039.7350708,8941.99684278,-247.829568546
2069,43039.7350708,8941.99684278,-247.829568546
2070,43039.7350708,8941.99684278,-247.829568546
