year,Base case cost,Modeled solar power
2020,158865.362226,162607.961292
2021,165791.372569,169345.962676
2022,171418.755972,174805.150254
2023,175314.636789,178557.406312
2024,178344.766314,181457.552941
2025,182240.647132,185216.235299
2026,186569.403596,189405.850543
2027,190465.284413,193170.807497
2028,193928.289584,196510.917787
2029,197878.692907,200331.353566
2030,200470.990194,202816.381716
2031,205223.53522,207439.782783
2032,209976.080246,212066.10775
2033,215160.67482,217122.530094
2034,219913.219846,221754.559526
2035,223369.616229,225107.399501
2036,228117.204664,229735.089741
2037,231135.768809,232659.776863
2038,236741.673649,238146.330482
2039,240622.684693,241929.016839
