year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.56
2003,,1.75,
2004,,2.14,3.0
2005,,2.63,3.5
2008,,4.37,4.35
2009,,3.09,3.9
2014,,,0.0
2016,,2.09,3.04
2017,,2.56,3.51
2018,,2.92,3.87
2019,,3.42,4.37
2020,,3.67,4.62
2021,,3.83,4.78
2022,,3.96,4.91
2023,,4.05,5.0
2024,,4.12,5.07
2025,,4.21,5.16
2026,,4.31,5.26
2027,,4.4,5.35
2028,,4.48,5.43
2029,,4.58,5.53
2030,,4.64,5.59
2031,,4.75,5.7
2032,,4.86,5.81
2033,,4.98,5.93
2034,,5.09,6.04
2035,,5.17,6.12
2036,,5.29,6.24
2037,,5.36,6.31
2038,,5.49,6.44
2039,,5.58,6.53
2040,,5.71,6.66
