year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,82807.0,73642.5209027
2018,82808.0,73643.5209027
2019,82808.0,73643.5209027
2020,82808.0,73643.5209027
2021,82809.0,73644.5209027
2022,82809.0,73644.5209027
2023,82808.0,73643.5209027
2024,82808.0,73643.5209027
2025,82807.0,73642.5209027
2026,82807.0,73642.5209027
2027,82806.0,73641.5209027
2028,81406.0,72241.5209027
2029,81404.0,72239.5209027
2030,81403.0,72238.5209027
2031,81402.0,72237.5209027
2032,81401.0,72236.5209027
2033,81401.0,72236.5209027
2034,81401.0,72236.5209027
2035,81400.0,72235.5209027
2036,79998.0,70833.5209027
