year,Base case cost,Modeled diesel efficiency
2019,453039.463059,647394.584224
2020,484068.001112,670081.865012
2021,507926.993429,686380.763131
2022,525191.069993,696810.637083
2023,540288.436081,705394.166858
2024,553170.218526,712084.029759
2025,567246.431591,719977.414843
2026,584536.425744,730907.337387
2027,600977.063467,741177.342365
2028,614498.640119,748903.249648
2029,632720.186486,761008.88282
2030,645481.267014,768254.973291
2031,664448.499454,781245.08803
2032,683655.654721,794552.98996
2033,703102.732817,808176.342828
2034,724628.401584,823784.381764
2035,740107.86699,833988.702114
2036,762508.069275,850575.25594
2037,778749.51181,861651.466835
2038,801675.470909,878890.965853
