year,Base case cost,Modeled wind power,Marshall wind energy final design and permitting project
2019,453039.463059,665241.852423,628664.460277
2020,484068.001112,683099.635148,641965.493977
2021,507926.993429,695863.470169,651346.101631
2022,525191.069993,703783.652892,656862.635211
2023,540288.436081,710322.536184,661396.161457
2024,553170.218526,715427.875707,664894.179506
2025,567246.431591,721543.993287,669219.737228
2026,584536.425744,730366.224755,675874.251369
2027,600977.063467,738790.694494,682334.63094
2028,614498.640119,745065.432569,687042.347229
2029,632720.186486,755202.474698,695040.83568
2030,645481.267014,761284.064112,699767.838551
2031,664448.499454,772407.560772,708771.102557
2032,683655.654721,783887.148946,718139.297811
2033,703102.732817,795720.105802,727869.494291
2034,724628.401584,809421.640224,739283.024077
2035,740107.86699,818468.363313,746824.67318
2036,762508.069275,833258.276555,759342.854119
2037,778749.51181,843275.810146,767871.204682
2038,801675.470909,858795.419059,781134.599806
