year,Base case diesel consumed,Modeled transmission and interties
2021,263174.607994,131587.303997
2022,265248.015148,132624.007574
2023,267469.522813,133734.761406
2024,269839.130988,134919.565494
2025,272060.638653,136030.319326
2026,274430.246828,137215.123414
2027,276947.955515,138473.977757
2028,279317.56369,139658.781845
2029,281835.272377,140917.636188
2030,284352.981063,142176.490532
2031,287018.790261,143509.39513
2032,289684.599458,144842.299729
2033,292350.408656,146175.204328
2034,295164.318364,147582.159182
2035,297830.127562,148915.063781
2036,300792.137781,150396.06889
2037,303606.047489,151803.023745
2038,306568.057709,153284.028854
2039,309678.168439,154839.08422
2040,312640.178659,156320.089329
