year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7745.65288345,5034.67437424
2018,7743.23395318,5033.10206957
2019,7741.14103615,5031.7416735
2020,7738.73482413,5030.17763569
2021,7736.2531017,5028.5645161
2022,7734.2464157,5027.2601702
2023,7732.53111733,5026.14522627
2024,7730.3544996,5024.73042474
2025,7728.74174625,5023.68213506
2026,7726.82348867,5022.43526764
2027,7725.61605447,5021.6504354
2028,7723.42585285,5020.22680435
2029,7721.51478674,5018.98461138
2030,7719.55564433,5017.71116882
2031,7716.49594093,5015.7223616
