year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,3140469.99,7745.65,38802.96,7880.7
2018,3140397.45,7743.23,38802.96,7880.7
2019,3140397.45,7741.14,38802.96,7880.7
2020,3140397.45,7738.73,38802.96,7880.7
2021,3140324.9,7736.25,38802.96,7880.7
2022,3140324.9,7734.25,38802.96,7880.7
2023,3140324.9,7732.53,38802.96,7880.7
2024,3140252.36,7730.35,38802.96,7880.7
2025,3140252.36,7728.74,38802.96,7880.7
2026,3140252.36,7726.82,38802.96,8713.0
2027,3140252.36,7725.62,38802.96,8713.0
2028,3140252.36,7723.43,38802.96,8713.0
2029,3140179.82,7721.51,38802.96,8713.0
2030,3140179.82,7719.56,38802.96,8713.0
2031,3140179.82,7716.5,38802.96,8713.0
