year,Base case cost,Modeled residential energy efficiency
2017,77646.3141518,78529.3540941
2018,82990.4610539,83382.9723132
2019,90412.8873068,90186.6176575
2020,93975.6519082,93378.8525954
2021,96350.8283091,95462.2052162
2022,98132.2106098,96992.7315301
2023,99468.2473353,98109.3878425
2024,100507.387011,98951.1322562
2025,101694.975211,99934.9923846
2026,112228.148945,110248.618341
2027,113678.265876,111491.541249
2028,114806.1346,112433.915485
2029,116256.251532,113682.511532
2030,117222.996153,114478.716506
2031,118834.237187,115884.432311
