year,Base case cost,Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek)
2020,147525.530865,,169917.984851,,
2021,154118.85068,940538.838178,170449.180174,2023377.78356,272758.574949
2022,159475.92303,939981.787683,170880.776375,2023189.43867,273276.846326
2023,162772.582937,939638.987379,171146.374036,2023073.53412,273595.782558
2024,165657.160356,939339.037113,171378.77199,2022972.11765,273874.85176
2025,169365.902752,938953.386771,171677.56936,2022841.72503,274233.655021
2026,173486.727637,938524.886391,172009.566437,2022696.84435,274632.325311
2027,177195.470033,938139.236048,172308.363806,2022566.45174,274991.128572
2028,180080.047452,937839.285782,172540.761761,2022465.03526,275270.197774
2029,184200.872337,937410.785402,172872.758838,2022320.15458,275668.868064
2030,186673.367267,937153.685174,173071.957084,2022233.22617,275908.070238
2031,191206.27464,936682.334756,173437.153869,2022073.85742,276346.607556
2032,195739.182013,936210.984337,173802.350654,2021914.48867,276785.144875
2033,200272.089386,935739.633919,174167.547439,2021755.11992,277223.682194
2034,204804.996759,935268.283501,174532.744224,2021595.75117,277662.219512
2035,208101.656667,934925.483197,174798.341885,2021479.84662,277981.155744
2036,213046.646528,934411.282741,175196.738378,2021305.98981,278459.560092
2037,215931.223947,934111.332474,175429.136332,2021204.57333,278738.629294
2038,220876.213808,933597.132018,175827.532825,2021030.71651,279217.033642
2039,224584.956204,933211.481676,176126.330194,2020900.3239,279575.836903
2040,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2041,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2042,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2043,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2044,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2045,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2046,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2047,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2048,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2049,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
2050,229942.028554,932654.431182,176557.926395,2020711.97901,280094.108279
