year,Base case diesel consumed,Modeled solar power (pv)
2016,41208.2488449,40585.9372533
2017,41208.2488449,40590.9157461
2018,41208.2488449,40595.8544109
2019,41208.2488449,40600.7535663
2020,41208.2488449,40605.6135286
2021,41208.2488449,40610.4346111
2022,41208.2488449,40615.217125
2023,41208.2488449,40619.9613787
2024,41208.2488449,40624.6676784
2025,41208.2488449,40629.3363278
2026,41208.2488449,40633.9676279
2027,41208.2488449,40638.5618776
2028,41208.2488449,40643.1193734
2029,41208.2488449,40647.6404092
2030,41208.2488449,40652.1252766
2031,41208.2488449,40656.5742652
2032,41208.2488449,40660.9876618
2033,41208.2488449,40665.3657513
2034,41208.2488449,40669.708816
2035,41208.2488449,40674.0171363
