year,Base case diesel consumed,Modeled diesel efficiency
2019,41208.2488449,37462.0444044
2020,41208.2488449,37462.0444044
2021,41208.2488449,37462.0444044
2022,41208.2488449,37462.0444044
2023,41208.2488449,37462.0444044
2024,41208.2488449,37462.0444044
2025,41208.2488449,37462.0444044
2026,41208.2488449,37462.0444044
2027,41208.2488449,37462.0444044
2028,41208.2488449,37462.0444044
2029,41208.2488449,37462.0444044
2030,41208.2488449,37462.0444044
2031,41208.2488449,37462.0444044
2032,41208.2488449,37462.0444044
2033,41208.2488449,37462.0444044
2034,41208.2488449,37462.0444044
2035,41208.2488449,37462.0444044
2036,41208.2488449,37462.0444044
2037,41208.2488449,37462.0444044
2038,41208.2488449,37462.0444044
