year,Base case cost,Modeled solar power (pv)
2016,84064.8276435,88385.9492423
2017,103020.622112,107068.75485
2018,117443.509208,121290.472169
2019,137635.551142,141199.61905
2020,147525.530865,150962.007091
2021,154118.85068,157477.738156
2022,159475.92303,162776.39862
2023,162772.582937,166045.145062
2024,165657.160356,168908.24464
2025,169365.902752,172584.429572
2026,173486.727637,176667.631458
2027,177195.470033,180345.208133
2028,180080.047452,183210.581922
2029,184200.872337,187295.855024
2030,186673.367267,189755.776017
2031,191206.27464,194248.893253
2032,195739.182013,198742.814284
2033,200272.089386,203237.528796
2034,204804.996759,207733.026587
2035,208101.656667,211009.077057
