year,Base case cost,Modeled biomass for heat (cordwood)
2017,15542.4802815,15556.0030499
2018,16792.2802815,16480.157376
2019,18583.6602815,17804.7785767
2020,19416.8602815,18420.8814608
2021,20041.7602815,18882.9586239
2022,20458.3602815,19191.0100659
2023,20791.6402815,19437.4512195
2024,21041.6002815,19622.2820847
2025,21374.8802815,19868.7232384
2026,21749.8202815,20145.9695362
2027,22041.4402815,20361.6055456
2028,22333.0602815,20577.241555
2029,22666.3402815,20823.6827087
2030,22874.6402815,20977.7084297
2031,23291.2402815,21285.7598717
2032,,
2033,,
2034,,
2035,,
2036,,
