year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,4165.56711108,3082.5196622
2018,4165.56711108,3082.5196622
2019,4165.56711108,3082.5196622
2020,4165.56711108,3082.5196622
2021,4165.56711108,3082.5196622
2022,4165.56711108,3082.5196622
2023,4165.56711108,3082.5196622
2024,4165.56711108,3082.5196622
2025,4165.56711108,3082.5196622
2026,4165.56711108,3082.5196622
2027,4165.56711108,3082.5196622
2028,4165.56711108,3082.5196622
2029,4165.56711108,3082.5196622
2030,4165.56711108,3082.5196622
2031,4165.56711108,3082.5196622
