year,Base case diesel consumed,Modeled non-residential ashp
2017,4165.56711108,3108.34796907
2018,4165.56711108,3108.34796907
2019,4165.56711108,3108.34796907
2020,4165.56711108,3108.34796907
2021,4165.56711108,3108.34796907
2022,4165.56711108,3108.34796907
2023,4165.56711108,3108.34796907
2024,4165.56711108,3108.34796907
2025,4165.56711108,3108.34796907
2026,4165.56711108,3108.34796907
2027,4165.56711108,3108.34796907
2028,4165.56711108,3108.34796907
2029,4165.56711108,3108.34796907
2030,4165.56711108,3108.34796907
2031,4165.56711108,3108.34796907
