year,Base case cost,Modeled biomass for heat (pellet)
2017,2303687.04651,2500219.58425
2018,2480853.75651,2621317.71812
2019,2736761.22651,2798836.6412
2020,2854872.36651,2877974.21147
2021,2940174.85651,2933781.55299
2022,3005792.15651,2975637.51832
2023,3051724.26651,3003539.26527
2024,3084532.91651,3022174.89973
2025,3130465.02651,3050305.23723
2026,3182958.86651,3083236.74919
2027,3228890.97651,3111585.08763
2028,3261699.62651,3130656.84661
2029,3314193.46651,3163903.96844
2030,3347002.11651,3183178.75661
2031,3399495.95651,3216624.14914
2032,,
2033,,
2034,,
2035,,
2036,,
