year,Base case cost,Modeled non-residential energy efficiency
2017,3308604.57369,3537351.5341
2018,3542137.64634,3744536.92472
2019,3879463.19571,4049160.44624
2020,4035151.91081,4183998.73061
2021,4147593.7606,4278605.43376
2022,4234087.49121,4349169.5336
2023,4294633.10264,4395685.17411
2024,4337879.96794,4426244.12376
2025,4398425.57937,4473230.74685
2026,4467620.56386,4528542.10221
2027,4528166.17528,4575977.88932
2028,4571413.04059,4607435.41964
2029,4640608.02508,4663397.05015
2030,4683854.89038,4695272.89704
2031,4753049.87487,4751643.03983
