year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,656173.0,469088.152083
2018,656173.0,469088.152083
2019,656173.0,469088.152083
2020,656173.0,469088.152083
2021,656173.0,469088.152083
2022,656173.0,469088.152083
2023,656173.0,469088.152083
2024,656173.0,469088.152083
2025,656173.0,469088.152083
2026,656173.0,469088.152083
2027,656173.0,469088.152083
2028,656173.0,469088.152083
2029,656173.0,469088.152083
2030,656173.0,469088.152083
2031,656173.0,469088.152083
2032,,
2033,,
2034,,
2035,,
2036,,
