year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,682061.66,10917.15,652673.54,666299.29
2018,681707.39,10909.08,652673.54,663289.19
2019,681423.97,10903.41,652673.54,660279.08
2020,681069.7,10896.44,652673.54,657268.98
2021,680644.57,10888.5,652673.54,652753.83
2022,680219.45,10880.87,652673.54,649743.72
2023,679865.17,10872.58,652673.54,645228.57
2024,679440.05,10865.1,652673.54,642218.47
2025,679085.77,10857.78,652673.54,639208.37
2026,678731.5,10850.93,652673.54,634693.21
2027,678377.23,10843.71,652673.54,631683.11
2028,678022.96,10836.37,652673.54,628673.01
2029,677952.1,10835.7,652673.54,628673.01
2030,677881.25,10833.72,652673.54,627167.95
2031,677668.69,10829.96,652673.54,625662.9
2032,677314.41,,,621147.75
2033,676818.43,,,616632.59
2034,676393.31,,,613622.49
2035,675968.18,,,609107.34
2036,675755.62,,,607602.29
