year,Base case cost,Modeled water and wastewater efficiency
2017,91785.4430765,127053.813739
2018,97701.8737096,129745.186855
2019,106306.86672,134355.686349
2020,110214.154083,135706.05456
2021,112990.779802,136296.060795
2022,115100.775993,136450.547087
2023,116532.271649,136160.232792
2024,117529.815362,135596.192044
2025,118969.959288,135371.951957
2026,120635.563819,135334.697748
2027,122071.726524,135164.690476
2028,123062.108599,134709.712751
2029,124816.334861,134818.729128
2030,125887.910217,134475.194711
2031,127591.957154,134600.097726
