year,Base case cost,Modeled biomass for heat (cordwood)
2017,2303687.04651,2637922.59539
2018,2480853.75651,2757799.73441
2019,2736761.22651,2936274.83224
2020,2854872.36651,3012930.00822
2021,2940174.85651,3065534.5022
2022,3005792.15651,3103804.27569
2023,3051724.26651,3127733.5126
2024,3084532.91651,3142177.49175
2025,3130465.02651,3166574.50103
2026,3182958.86651,3196058.16504
2027,3228890.97651,3220901.27682
2028,3261699.62651,3236237.71191
2029,3314193.46651,3266367.2188
2030,3347002.11651,3282119.11921
2031,3399495.95651,3312654.35396
2032,,
2033,,
2034,,
2035,,
2036,,
