year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,49267.0,35154.4407278
2018,49267.0,35154.4407278
2019,49267.0,35154.4407278
2020,49267.0,35154.4407278
2021,49267.0,35154.4407278
2022,49267.0,35154.4407278
2023,49267.0,35154.4407278
2024,49267.0,35154.4407278
2025,49267.0,35154.4407278
2026,49267.0,35154.4407278
2027,49267.0,35154.4407278
2028,49267.0,35154.4407278
2029,49267.0,35154.4407278
2030,49267.0,35154.4407278
2031,49267.0,35154.4407278
2032,,
2033,,
2034,,
2035,,
2036,,
