year,Base case cost,Modeled biomass for heat (cordwood)
2017,174936.879037,221936.658716
2018,189224.309037,231770.037509
2019,208438.439037,245264.34701
2020,217799.169037,251487.964116
2021,224203.879037,255541.731457
2022,229130.579037,258518.38681
2023,232579.269037,260417.554941
2024,235042.619037,261603.243418
2025,238491.309037,263532.590412
2026,242925.339037,266205.246457
2027,246374.029037,268163.374258
2028,248837.379037,269406.640537
2029,252778.739037,271756.589857
2030,255242.089037,273026.660351
2031,259676.119037,275767.159668
2032,,
2033,,
2034,,
2035,,
2036,,
