year,Base case cost,Modeled biomass for heat (pellet)
2017,174936.879037,189197.613015
2018,189224.309037,198973.314602
2019,208438.439037,212274.282596
2020,217799.169037,218553.954566
2021,224203.879037,222733.7274
2022,229130.579037,225868.014772
2023,232579.269037,227956.602284
2024,235042.619037,229350.824965
2025,238491.309037,231456.655977
2026,242925.339037,234273.895642
2027,246374.029037,236396.171337
2028,248837.379037,237823.292637
2029,252778.739037,240312.795611
2030,255242.089037,241755.232216
2031,259676.119037,244611.23595
2032,,
2033,,
2034,,
2035,,
2036,,
