year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,49267.0,36437.4006617
2018,49267.0,36437.4006617
2019,49267.0,36437.4006617
2020,49267.0,36437.4006617
2021,49267.0,36437.4006617
2022,49267.0,36437.4006617
2023,49267.0,36437.4006617
2024,49267.0,36437.4006617
2025,49267.0,36437.4006617
2026,49267.0,36437.4006617
2027,49267.0,36437.4006617
2028,49267.0,36437.4006617
2029,49267.0,36437.4006617
2030,49267.0,36437.4006617
2031,49267.0,36437.4006617
2032,,
2033,,
2034,,
2035,,
2036,,
