year,Base case diesel consumed,Modeled residential ashp
2017,59956.0732163,26271.3659868
2018,59956.0732163,26271.3659868
2019,58046.704349,24361.9971195
2020,58046.704349,24361.9971195
2021,56137.3354817,22452.6282522
2022,56137.3354817,22452.6282522
2023,54227.9666143,20543.2593848
2024,52318.597747,18633.8905175
2025,52318.597747,18633.8905175
2026,50409.2288797,16724.5216502
2027,50409.2288797,16724.5216502
2028,48499.8600123,14815.1527828
2029,48499.8600123,14815.1527828
2030,48499.8600123,14815.1527828
2031,46590.491145,12905.7839155
