year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,1041.68093257,677.092606173
2018,1025.21049959,666.386824736
2019,1009.9027596,656.436793737
2020,994.506878641,646.429471117
2021,978.71593978,636.165360857
2022,963.277838897,626.130595283
2023,947.607391326,615.944804362
2024,932.39039676,606.053757894
2025,917.351329037,596.278363874
2026,902.619315344,586.702554974
2027,887.69676366,577.002896379
2028,873.324853064,567.661154491
2029,862.346026573,560.524917272
2030,850.7710492,553.00118198
2031,838.386628057,544.951308237
