year,Base case cost,Modeled non-residential energy efficiency
2017,316754.52496,342432.443925
2018,336452.806499,359256.140081
2019,362943.598915,382420.714552
2020,375849.369579,393005.753535
2021,384679.633717,399839.621832
2022,391472.144593,404813.512724
2023,396226.902206,407926.676604
2024,399623.157644,409809.035058
2025,404377.915257,412982.487716
2026,410491.175045,417446.336444
2027,415245.932658,420677.284964
2028,418642.188096,422674.667481
2029,424076.196797,426591.10195
2030,427472.452235,428642.03166
2031,433585.712023,433241.411939
