year,Base case cost,Modeled non-residential energy efficiency
2017,1274323.78481,1309077.83397
2018,1332634.41486,1362440.85032
2019,1411936.87173,1435014.55255
2020,1449255.67497,1469166.88301
2021,1474912.35219,1492646.61021
2022,1495904.17901,1511857.29609
2023,1507566.30502,1522529.89936
2024,1519228.43104,1533202.50263
2025,1533222.98225,1546009.62655
2026,1549549.95866,1560951.27113
2027,1561212.08467,1571623.8744
2028,1572874.21069,1582296.47767
2029,1589201.1871,1597238.12225
2030,1596198.46271,1603641.68421
2031,1612525.43912,1618583.32879
