year,Base case cost,Modeled water and wastewater efficiency
2017,223609.250365,178261.425081
2018,241408.520083,189487.151173
2019,263531.978381,203369.60826
2020,279594.655898,213532.259015
2021,294219.737064,222815.776611
2022,308542.30315,231919.226824
2023,321628.056243,240270.985524
2024,335088.828381,248858.634604
2025,349359.82302,257947.605991
2026,364453.152704,267543.944241
2027,378901.999249,276748.793374
2028,393689.22626,286165.472181
2029,410056.027758,296558.718844
2030,424601.744256,305840.96686
2031,441740.720934,316716.109454
