year,Base case diesel consumed,Modeled solar power (pv)
2016,129676.094099,127628.144414
2017,130047.871892,128016.305804
2018,130494.005243,128478.691684
2019,130865.783036,128866.591985
2020,131311.916387,129328.718865
2021,131758.049738,129790.717797
2022,132204.183089,130252.589803
2023,132650.316441,130714.335901
2024,133170.80535,131250.312655
2025,133616.938702,131711.809948
2026,134137.427611,132247.539888
2027,134657.916521,132783.147899
2028,135178.405431,133318.634958
2029,135698.894341,133854.002032
2030,136219.383251,134389.25008
2031,136814.227719,134998.735614
2032,137334.716629,135533.74846
2033,137855.205539,136068.645115
2034,138450.050007,136677.782067
2035,139044.894475,137286.804679
