year,Base case diesel consumed,Modeled transmission and interties
2021,263516.099476,131758.049738
2022,264408.366179,132204.183089
2023,265300.632881,132650.316441
2024,266341.610701,133170.80535
2025,267233.877403,133616.938702
2026,268274.855223,134137.427611
2027,269315.833042,134657.916521
2028,270356.810862,135178.405431
2029,271397.788682,135698.894341
2030,272438.766501,136219.383251
2031,273628.455438,136814.227719
2032,274669.433258,137334.716629
2033,275710.411077,137855.205539
2034,276900.100014,138450.050007
2035,278089.788951,139044.894475
2036,279279.477887,139639.738944
2037,280469.166824,140234.583412
2038,281658.855761,140829.42788
2039,282848.544697,141424.272349
2040,284186.944751,142093.472376
