year,Base case cost,Modeled wind power
2019,3317057.38034,3619370.03085
2020,3518007.70002,3780172.58691
2021,3664935.93225,3895090.56147
2022,3761185.91993,3964347.40097
2023,3825129.26933,4006306.53014
2024,3889542.76536,4049068.71621
2025,3964170.57426,4100814.31368
2026,4039169.64394,4153248.65998
2027,4112814.11727,4204638.45681
2028,4172395.33776,4243823.79016
2029,4248357.57316,4298129.81304
2030,4298233.37976,4329750.17929
2031,4385228.56125,4394103.87865
2032,4472974.4232,4459483.63552
2033,4559907.79882,4524319.8288
2034,4647548.44465,4590125.91232
2035,4694172.41747,4619839.81529
2036,4793528.13403,4696311.87892
2037,4842912.14669,4729280.85953
2038,4943259.57216,4807228.06745
