year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,68205.42,8004765.23,5780578.16,89552.61,4918223.1,2970033.74
2018,71591.72,8406283.19,6043039.06,92827.79,5101713.39,3077781.07
2019,76157.27,8958370.38,6366556.06,97164.94,5354012.53,3210724.71
2020,78329.41,9226049.02,6512654.75,99193.77,5476339.39,3270946.05
2021,79866.26,9410078.08,6626457.98,100670.07,5560439.1,3317843.19
2022,81022.95,9543917.4,6723417.69,101815.46,5621602.53,3357709.83
2023,81718.93,9627566.98,6770485.59,102481.9,5659829.67,3377148.28
2024,82413.72,9711216.55,6825880.82,103146.24,5698056.82,3399957.93
2025,83239.39,9811596.04,6883807.94,103928.9,5743929.39,3423884.96
2026,83990.73,9911975.53,6915681.4,104576.62,5789801.96,3437340.78
2027,84665.71,10012355.02,6920759.3,105086.56,5835674.53,3440077.82
2028,85126.2,10096004.6,6896303.65,105327.87,5873901.68,3430909.93
2029,85967.14,10196384.09,6961046.81,106140.63,5919774.25,3457703.82
2030,86488.24,10263303.75,6986372.69,106611.15,5950355.96,3468429.72
2031,87361.3,10380413.15,7025656.87,107365.1,6003873.96,3485223.32
2032,,,7082392.59,,,3509025.23
2033,,,7129536.98,,,3529034.14
2034,,,7185407.14,,,3552547.2
2035,,,7143634.92,,,3536735.85
2036,,,7189670.34,,,3556647.15
