year,Base case cost,Modeled non-residential energy efficiency
2017,12922988.3278,12969844.3594
2018,13507996.5734,13476076.5201
2019,14312382.911,14184524.6404
2020,14702388.408,14513095.8187
2021,14970517.1872,14730423.774
2022,15165519.9357,14881267.2945
2023,15287396.6535,14965610.486
2024,15409273.3713,15050600.4229
2025,15555525.4327,15158609.4791
2026,15701777.4941,15267235.3196
2027,15848029.5555,15376463.4889
2028,15969906.2733,15463892.3376
2029,16116158.3347,15574283.1435
2030,16213659.7089,15640459.8475
2031,16384287.1139,15774346.9624
