year,Base case diesel consumed,Modeled diesel efficiency
2019,1266052.43524,1150956.75931
2020,1265470.39569,1150427.63245
2021,1268143.92119,1152858.11018
2022,1266392.56563,1151265.96876
2023,1266599.09581,1151453.72346
2024,1266952.04083,1151774.58258
2025,1266508.17069,1151371.06426
2026,1266197.38055,1151088.52777
2027,1265481.26685,1150437.51532
2028,1264362.22356,1149420.20324
2029,1264392.13487,1149447.39534
2030,1264186.28817,1149260.26197
2031,1263754.6286,1148867.84418
2032,1263552.09695,1148683.7245
2033,1263132.35424,1148302.14022
2034,1262920.773,1148109.79364
2035,1261874.30577,1147158.45979
2036,1261454.77211,1146777.06556
2037,1261175.0382,1146522.762
2038,1261035.60514,1146396.00468
