year,Base case diesel consumed,Modeled wind power
2019,1266052.43524,1118439.42973
2020,1265470.39569,1117857.39018
2021,1268143.92119,1120530.91568
2022,1266392.56563,1118779.56012
2023,1266599.09581,1118986.09029
2024,1266952.04083,1119339.03532
2025,1266508.17069,1118895.16518
2026,1266197.38055,1118584.37503
2027,1265481.26685,1117868.26134
2028,1264362.22356,1116749.21805
2029,1264392.13487,1116779.12935
2030,1264186.28817,1116573.28265
2031,1263754.6286,1116141.62309
2032,1263552.09695,1115939.09143
2033,1263132.35424,1115519.34873
2034,1262920.773,1115307.76749
2035,1261874.30577,1114261.30026
2036,1261454.77211,1113841.7666
2037,1261175.0382,1113562.03269
2038,1261035.60514,1113422.59963
