year,Base case cost,Modeled water and wastewater efficiency
2017,58966.1261421,45554.034971
2018,63167.6469871,48418.5064896
2019,69048.2478795,52462.2905513
2020,71687.6605181,54235.1319574
2021,73604.9538989,55503.4109263
2022,75041.2715413,56436.1935032
2023,75996.6144969,57033.4385626
2024,76831.620648,57547.9998911
2025,77784.9930529,58147.209019
2026,78856.5503395,58830.8987313
2027,79925.5644566,59514.3667718
2028,80633.9470973,59946.4936874
2029,81823.3411762,60717.443527
2030,82411.2374359,61068.0686118
2031,83596.2921383,61838.8562883
