year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5851.5810685,3803.52769452
2018,5851.8417563,3803.6971416
2019,5852.02743361,3803.81783185
2020,5852.03272402,3803.82127062
2021,5851.85965194,3803.70877376
2022,5851.61000382,3803.54650248
2023,5851.28348276,3803.33426379
2024,5850.93620492,3803.1085332
2025,5850.48095947,3802.81262365
2026,5849.91062054,3802.44190335
2027,5849.17411945,3801.96317764
2028,5848.39032854,3801.45371355
2029,5847.72487014,3801.02116559
2030,5846.92877093,3800.5037011
2031,5846.00246277,3799.9016008
