year,annotation,diesel generation efficiency
2002,,10.45
2003,,11.14
2004,,11.41
2005,,11.96
2006,,17.72
2007,,3.83
2008,,11.64
2009,,11.98
2010,,11.48
2011,,9.82
2012,,10.73
2013,,8.93
2014,,9.84
2015,,11.6
2016,start of forecast,10.12
2017,,10.12
2018,,10.12
2019,,10.12
2020,,10.12
2021,,10.12
2022,,10.12
2023,,10.12
2024,,10.12
2025,,10.12
2026,,10.12
2027,,10.12
2028,,10.12
2029,,10.12
2030,,10.12
2031,,10.12
2032,,10.12
2033,,10.12
2034,,10.12
2035,,10.12
2036,,10.12
2037,,10.12
2038,,10.12
2039,,10.12
2040,,10.12
