year,Base case cost,Modeled diesel efficiency
2019,136230.422621,294120.953268
2020,144096.746236,297281.333558
2021,149817.708866,298584.920593
2022,153682.716941,298292.618902
2023,156535.296374,297169.129391
2024,158590.773451,295408.112541
2025,161435.451002,294449.620181
2026,164178.391821,293481.715579
2027,166903.553405,292578.776636
2028,168553.07129,290777.206923
2029,171597.271364,290320.900396
2030,172868.486644,288328.346421
2031,175381.285147,287538.290479
2032,178361.282429,287245.0174
2033,180804.939464,286534.530103
2034,183552.818959,286169.327306
2035,184890.212502,284588.972546
2036,187219.292246,283975.685859
2037,189046.602478,282970.244266
2038,191649.28489,282732.18568
