year,Base case cost,Modeled water and wastewater efficiency
2017,85019.4856592,82531.5771359
2018,90115.2831691,84193.9975222
2019,97244.9168408,86880.5813893
2020,100619.818846,87734.7045168
2021,102989.847074,88112.8472048
2022,104781.112192,88224.051067
2023,106136.934618,88138.4825921
2024,107061.880782,87858.4309475
2025,108427.023907,87813.4677041
2026,109799.902767,87789.9923845
2027,111177.849411,87786.0302356
2028,112268.651035,87656.7928512
2029,113649.561746,87686.480594
2030,114596.645769,87517.6236663
2031,116122.356537,87649.1631805
