year,Base case diesel consumed,"Grayling, alaska heat recovery study"
2019,78800.0,70796.0
2020,78803.0,70799.0
2021,79828.0,71824.0
2022,79831.0,71827.0
2023,80855.0,72851.0
2024,80857.0,72853.0
2025,81883.0,73879.0
2026,82908.0,74904.0
2027,82911.0,74907.0
2028,83937.0,75933.0
2029,84962.0,76958.0
2030,84965.0,76961.0
2031,85991.0,77987.0
2032,85994.0,77990.0
2033,87020.0,79016.0
2034,88045.0,80041.0
2035,88048.0,80044.0
2036,89074.0,81070.0
2037,90099.0,82095.0
2038,90102.0,82098.0
