year,Base case cost,"Grayling, alaska heat recovery study"
2019,426370.424911,415278.52265
2020,444511.347287,430811.741937
2021,463065.639287,447336.582326
2022,472662.761663,455241.963366
2023,486002.60287,467147.322172
2024,490866.044455,470833.138597
2025,504464.147246,483029.841197
2026,518240.679245,495420.934886
2027,525721.421622,501531.82672
2028,538102.664413,512718.521408
2029,552320.306412,525596.400958
2030,557437.708789,529628.678136
2031,572768.18158,543568.042722
2032,581387.563957,550810.161616
2033,597026.136748,565084.991165
2034,613743.398747,580371.673279
2035,619927.671124,585458.419672
2036,636949.663915,601075.318182
2037,649685.165914,612818.222487
2038,659618.018291,621370.285551
